,اسم الوكالة,المنطقة التابع له الوكيل ,العنوان  بالتفصيل,المدينة,Latitude,Longitude,البريد  الإلكتروني,رقم الهاتف,ملاحظات
150,محل ميجاهيرتز,المنطقة الغربية,,طرابلس,32.8245131,13.0323688,,,
151,المتميز للألكترونات,المنطقة الغربية,,طرابلس,32.7142373,13.1973135,,,
152,مركز المهندس,المنطقة الغربية,,طرابلس,32.597328,13.174677,,,
153,موبايلي,المنطقة الغربية,,طرابلس,32.678886,13.098436,,,
154,طرابلس لبيع الكروت,المنطقة الغربية,,طرابلس,32.839248,13.1826198,,,
155,المنطلق,المنطقة الغربية,,طرابلس,32.53354,13.12128,,,
156,المستقبل الزاهر -الزهراء,المنطقة الغربية,,طرابلس,32.678419,12.868352,,,
157,منتذي القصر ولي العهد,المنطقة الغربية,,طرابلس,32.795742,13.1368389,,,
158,شركة المسارللأتصالات,المنطقة الغربية,,طرابلس,32.8469414,13.1321376,,,
159,الليث 2,المنطقة الغربية,,طرابلس,32.86008,13.09029,,,
160,فاضل 2.....محطة وقود الفصول الاربعة,المنطقة الغربية,,طرابلس,32.8441598,13.3030724,,,
161,فاضل 1...جامع ربئر الاسطي ميلاد,المنطقة الغربية,,طرابلس,32.8524178,13.3153144,,,
162,فاضل 3...البيفي محطة وقود الخبولي,المنطقة الغربية,,طرابلس,32.8710166,13.3061197,,,
163,شركة نافورة شمال افريقيا,المنطقة الغربية,,طرابلس,32.849948,13.170491,,,
164,القمة للهاتف النقال,المنطقة الغربية,,طرابلس,32.847633,13.291723,,,
165,دبي ستور,المنطقة الغربية,,طرابلس,32.8144704,13.0398921,,,
166,الوفاء موبايلي,المنطقة الغربية,,طرابلس,32.885345,13.3391674,,,
167,الاتقان العالمية,المنطقة الغربية,,طرابلس,32.47066,13.0506,,,
168,برج السلام للاتصالات الدولية والمحلية,المنطقة الغربية,,طرابلس,32.8937,13.17947,,,
169,فاضل - حي الاندلس,المنطقة الغربية,,طرابلس,32.87384,13.152125,,,
170,جديد فون,المنطقة الغربية,,طرابلس,32.785294,13.34424,,,
171,الهاني لبيع الهاتف النقال,المنطقة الغربية,,طرابلس,32.877144,13.22435,,,
172,شركة المحيط,المنطقة الغربية,,طرابلس,32.49029,13.12552,,,
173,متجر الدقة للالكترونات,المنطقة الغربية,,طرابلس,32.8831909,13.274303,,,
174,متجر أنس للهاتف النقال,المنطقة الغربية,915050052,طرابلس,,,,,
175,أبعاد للتقنية والالكترونات وانظمة الحماية,المنطقة الغربية,925192626,طرابلس,32.783403,13.235272,,,
176,متجر تاج,المنطقة الغربية,,طرابلس,32.87779291,13.39283514,,,
177,محل الاتقان 2 لبيع الاجهزة الالكترونية والهاتف النقال,المنطقة الغربية,,طرابلس,32.5410901,13.1773375,,,
178,محمد المناعي للهاتف المحمول,المنطقة الغربية,,طرابلس,32.835031,13.292018,,,
179,شركة الشبكة العريقة لتقنية المعلومات,المنطقة الغربية,924008080,طرابلس,32.8201263,13.22249,,,
180,المتفوق للهاتف المحمول,المنطقة الغربية,,طرابلس,32.754751,13.0134978,,,
181,شنقير,المنطقة الغربية,912111418,طرابلس,32.42204,13.04001,,,
182,أفاق المتجددة,المنطقة الغربية,,طرابلس,32.821414,13.21922,,,
183,الربيع المشرق,المنطقة الغربية,913881233,طرابلس,32.49208,13.20241,,,
184,الريادة المتفوقة للإستيراد الاجهزة الالكترونية,المنطقة الغربية,,طرابلس,32.900124,13.234398,,,
185,القمة لبيع الهاتف النقال,المنطقة الغربية,,طراابلس,32.811667,13.164762,,,
186,التكونولوجيا الذكية لغنظمة الحماية,المنطقة الغربية,,طرابلس,32.827739,13.005668,,,
187,البطشة فون,المنطقة الغربية,,ترهونة,32.433401,13.629605,,,
188,البداية للهاتف النقال,المنطقة الغربية,,طرابلس,32.776068,13.015593,,,
189,الدقة الجديدة لبيع الهاتف النقال,المنطقة الغربية,,طرابلس,32.850235,13.178815,,,
190,مركز الوفاء الأولي,المنطقة الغربية,,طرابلس,32.87424,13.340128,,,
191,,,,,,,,,
192,,,,,,,,,
193,,,,,,,,,
194,,,,,,,,,
195,,,,,,,,,
196,,,,,,,,,
197,,,,,,,,,
198,,,,,,,,,
